Latitude,Longitude,Voivodeship
52.0702113,17.360824,Wielkopolskie
51.8215578,18.227519,Wielkopolskie
51.9573564,21.5634101,Mazowieckie
54.176638,18.5289498,Pomorskie
51.8002422,18.3304181,Wielkopolskie
53.0671464,20.348225,Mazowieckie
51.6393617,15.0035953,Lubuskie
54.2891372,18.9662203,Pomorskie
53.0577333,20.6291066,Mazowieckie
53.1588695,20.6612714,Mazowieckie
50.1525565,19.4880212,Małopolskie
49.6437746,19.1589046,Śląskie
51.5761171,18.7107416,Łódzkie
52.6055527,21.1853767,Mazowieckie
52.6894418,21.105913,Mazowieckie
52.4454957,15.1141888,Lubuskie
50.4569509,20.7008171,Świętokrzyskie
54.3405458,18.3739652,Pomorskie
50.9031816,14.9661165,Dolnośląskie
50.6757623,18.2523559,Opolskie
50.1291431,18.7386059,Śląskie
51.7266152,19.6820068,Łódzkie
52.3278007,16.9110275,Wielkopolskie
52.1634388,15.8246684,Lubuskie
51.4427633,16.092232,Dolnośląskie
52.3360697,20.0280581,Mazowieckie
52.0053391,21.0386306,Mazowieckie
52.1839546,20.5652073,Mazowieckie
51.6106568,18.9527653,Łódzkie
51.303052,16.908107,Dolnośląskie
50.4465165,18.8808917,Śląskie
50.4883853,20.7174715,Świętokrzyskie
51.6204648,17.8513059,Wielkopolskie
54.0892632,18.7747113,Pomorskie
51.4072509,16.1794441,Dolnośląskie
51.9615559,16.1632079,Wielkopolskie
50.1836201,19.1597048,Śląskie
51.7675916,16.9378738,Wielkopolskie
50.3779518,19.6448755,Małopolskie
52.2191619,16.3645166,Wielkopolskie
51.4868901,21.1178177,Mazowieckie
54.2842578,18.20526,Pomorskie
53.3833223,19.1571372,Kujawsko-pomorskie
51.6398378,16.0731664,Dolnośląskie
50.6777392,16.6024297,Dolnośląskie
54.0680027,18.4276607,Pomorskie
53.4876107,18.8148062,Kujawsko-pomorskie
53.1831674,14.841157,Zachodniopomorskie
